date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:26	2288/2288	---M-Z	200	added ('OK')	text/html	etag:W/%225e5d0bd2-8f0%22	https://collab-project.github.io/videojs-record/examples/audio-video.html	C:/Users/Hp/Downloads/Websites/Video/collab-project.github.io/videojs-record/examples/audio-video.html	(from )
21:56:26	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cb0f185-239b%22	https://collab-project.github.io/robots.txt		(from )
21:56:26	40028/40028	---M-Z	200	added ('OK')	text/css	etag:%22ef822e2bcbe77ffc84c312c3b62d0ba6%22	http://vjs.zencdn.net/7.6.6/video-js.min.css	C:/Users/Hp/Downloads/Websites/Video/vjs.zencdn.net/7.6.6/video-js.min.css	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:27	7229/7229	---M-Z	200	added ('OK')	text/css	etag:W/%225e5d0bd2-1c3d%22	https://collab-project.github.io/videojs-record/dist/css/videojs.record.min.css	C:/Users/Hp/Downloads/Websites/Video/collab-project.github.io/videojs-record/dist/css/videojs.record.min.css	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:27	287/287	---M-Z	200	added ('OK')	text/css	etag:W/%225e5d0bd2-11f%22	https://collab-project.github.io/videojs-record/examples/assets/examples.css	C:/Users/Hp/Downloads/Websites/Video/collab-project.github.io/videojs-record/examples/assets/examples.css	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Mar%202020%2020:56:27%20GMT	http://unpkg.com/recordrtc/RecordRTC.js	C:/Users/Hp/Downloads/Websites/Video/unpkg.com/recordrtc/RecordRTC.5.delayed	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:32	481304/481304	---M-Z	200	added ('OK')	application/javascript	etag:%22de997215a1e47385ac79c00464309200%22	http://vjs.zencdn.net/7.6.6/video.min.js	C:/Users/Hp/Downloads/Websites/Video/vjs.zencdn.net/7.6.6/video.min.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:32	51/51	---M--	302	error ('Found')	text/plain	date:Tue,%2010%20Mar%202020%2020:56:28%20GMT	https://unpkg.com/recordrtc/RecordRTC.js	C:/Users/Hp/Downloads/Websites/Video/unpkg.com/recordrtc/RecordRTC.6.delayed	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Mar%202020%2020:56:32%20GMT	http://unpkg.com/webrtc-adapter/out/adapter.js	C:/Users/Hp/Downloads/Websites/Video/unpkg.com/webrtc-adapter/out/adapter.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:32	198793/198793	---M-Z	200	added ('OK')	application/javascript	etag:W/%2230889-vMfh4lqcCoD69wk6S7o0Ob5+QzY%22	https://unpkg.com/recordrtc@5.5.9/RecordRTC.js	C:/Users/Hp/Downloads/Websites/Video/unpkg.com/recordrtc@5.5.9/RecordRTC.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:33	58/58	---M--	302	error ('Found')	text/plain	date:Tue,%2010%20Mar%202020%2020:56:33%20GMT	https://unpkg.com/webrtc-adapter/out/adapter.js	C:/Users/Hp/Downloads/Websites/Video/unpkg.com/webrtc-adapter/out/adapter.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:33	196784/196784	---M-Z	200	added ('OK')	application/javascript	etag:W/%22300b0-w0XpJdyuO50hocaV4xtPmT+GPXQ%22	https://unpkg.com/webrtc-adapter@7.5.0/out/adapter.js	C:/Users/Hp/Downloads/Websites/Video/unpkg.com/webrtc-adapter@7.5.0/out/adapter.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:33	58626/58626	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e5d0bd2-e502%22	https://collab-project.github.io/videojs-record/dist/videojs.record.min.js	C:/Users/Hp/Downloads/Websites/Video/collab-project.github.io/videojs-record/dist/videojs.record.min.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
21:56:33	1060/1060	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e5d0bd2-424%22	https://collab-project.github.io/videojs-record/examples/browser-workarounds.js	C:/Users/Hp/Downloads/Websites/Video/collab-project.github.io/videojs-record/examples/browser-workarounds.js	(from https://collab-project.github.io/videojs-record/examples/audio-video.html)
